elevation_m,drainage_density_km_per_km2,storm_drain_proximity_m,historical_rainfall_intensity_mm_hr,return_period_years,G1_infra_vuln,G2_rain_x_return,G3_soil_x_rainfall,G4_is_very_low_elev,land_use,soil_group,storm_drain_type,rainfall_source,dem_source,risk_class,risk_class_encoded,latitude,longitude
21.15,6.3,129.0,35.9,100,20.476157974352425,3590.0,35.9,0,4.0,0.0,1.0,1.0,1.0,Low,1,-11.993655,-77.024442
30.025,4.29,91.4,26.9,50,21.30531164263021,1345.0,80.69999999999999,0,7.0,2.0,2.0,1.0,0.0,High,0,24.827604,121.630241
15.67,8.82,3.2,29.8,2,0.36281138003244895,59.6,59.6,0,6.0,1.0,2.0,3.0,4.0,Low,1,-33.812391,151.156029
18.79,6.26,85.6,40.8,5,13.674099562141276,204.0,81.6,0,0.0,1.0,0.0,2.0,1.0,Low,1,52.318933,5.087657
30.025,5.32,163.5,21.0,10,30.733024937923048,210.0,21.0,0,0.0,0.0,3.0,0.0,4.0,Low,1,37.808526,-122.353819
3.05,4.46,301.6,27.5,5,67.62316676420009,137.5,110.0,1,0.0,3.0,3.0,4.0,1.0,Medium,2,51.881245,4.365565
3.33,4.56,72.0,21.4,10,15.789439058247682,214.0,42.8,1,6.0,1.0,1.0,3.0,3.0,Medium,2,53.539526,10.03608
52.08,3.27,288.8,19.9,2,88.31777272852376,39.8,59.699999999999996,0,8.0,2.0,3.0,1.0,3.0,Low,1,41.107831,29.02289
82.35,8.96,198.0,40.5,5,22.098189622556223,202.5,121.5,0,2.0,2.0,3.0,3.0,4.0,Low,1,37.930266,23.77683
7.11,6.83,79.1,69.7,10,11.581242194374532,697.0,278.8,0,0.0,3.0,2.0,1.0,3.0,High,0,1.374447,103.961276
-2.84,8.02,132.5,64.1,10,16.521176407510715,641.0,64.1,1,7.0,0.0,1.0,1.0,0.0,Medium,2,51.920377,4.480419
50.78,6.32,82.2,28.4,5,13.00630853432194,142.0,85.19999999999999,0,7.0,2.0,0.0,1.0,0.0,Low,1,37.892256,23.797698
21.76,4.71,73.6,104.7,50,15.626293787062023,5235.0,418.8,0,6.0,3.0,0.0,1.0,3.0,High,0,5.593215,-0.123185
16.79,3.82,232.1,33.9,2,60.759003248682596,67.8,101.69999999999999,0,1.0,2.0,3.0,2.0,3.0,Low,1,52.039614,4.56731
58.9,7.87,146.0,30.1,2,18.551437672887328,60.2,30.1,0,7.0,0.0,3.0,2.0,1.0,Low,1,37.655403,-122.424232
3.04,6.26,323.6,36.9,100,51.69320815781445,3690.0,147.6,1,8.0,3.0,2.0,1.0,1.0,Medium,2,52.256612,4.829554
108.23,3.71,23.2,73.3,50,6.253352416839847,3665.0,0.0,0,6.0,4.0,1.0,1.0,4.0,Low,1,24.836508,66.943636
84.33,6.09,93.2,28.6,5,15.303751553774134,143.0,85.80000000000001,0,0.0,2.0,2.0,1.0,4.0,Low,1,35.671601,139.694373
30.23,7.45,156.9,15.5,5,21.060374415604812,77.5,62.0,0,6.0,3.0,3.0,1.0,1.0,Low,1,25.299325,51.421001
37.1,10.58,198.0,82.7,100,18.714538076996146,8270.0,0.0,0,2.0,4.0,1.0,2.0,3.0,High,0,23.760802,90.417449
103.54,7.37,95.3,57.1,25,12.930782997580737,1427.5,114.2,0,6.0,1.0,0.0,1.0,3.0,Low,1,23.829972,90.514408
97.35,3.6,50.8,38.4,25,14.111071913689127,960.0,38.4,0,4.0,0.0,1.0,1.0,3.0,Low,1,-34.609054,-58.402068
14.21,3.79,78.8,86.1,10,20.791501869388206,861.0,86.1,0,5.0,0.0,1.0,0.0,2.0,High,0,-6.24784,106.806241
83.74,6.26,31.3,27.8,25,4.999992012792313,695.0,111.2,0,0.0,3.0,1.0,0.0,0.0,Low,1,10.780936,106.629429
38.36,6.63,84.6,17.4,10,12.76016174937896,174.0,69.6,0,6.0,3.0,1.0,3.0,4.0,Low,1,28.61063,77.220405
11.75,6.26,91.4,49.2,50,14.600615653968607,2460.0,196.8,0,5.0,3.0,0.0,1.0,1.0,Low,1,34.675014,135.503691
11.53,4.71,96.6,32.5,25,20.509510595518908,812.5,32.5,0,7.0,0.0,2.0,2.0,4.0,Low,1,41.782952,12.41866
30.025,5.61,24.2,56.1,50,4.313717800859535,2805.0,224.4,0,7.0,3.0,1.0,2.0,1.0,Low,1,-36.803558,174.834619
73.72,4.76,71.4,26.7,25,14.999968487461164,667.5,106.8,0,1.0,3.0,1.0,0.0,2.0,Low,1,35.842917,51.519429
20.16,6.92,174.4,45.3,100,25.202275719254743,4530.0,45.3,0,8.0,0.0,0.0,1.0,4.0,Low,1,22.412241,114.007163
78.3,6.01,54.3,14.3,5,9.034926730571165,71.5,28.6,0,7.0,1.0,2.0,1.0,3.0,Low,1,22.547799,88.380892
49.16,6.26,51.5,15.4,2,8.226823918811633,30.8,61.6,0,6.0,3.0,4.0,0.0,2.0,Low,1,-33.997565,18.392941
30.025,3.71,123.7,45.2,10,33.34222818806418,452.0,45.2,0,1.0,0.0,3.0,2.0,3.0,Low,1,38.885243,-77.087806
18.2,7.24,302.1,25.0,10,41.72646170378218,250.0,0.0,0,6.0,4.0,4.0,0.0,3.0,Low,1,29.885492,-90.129196
4.77,6.08,112.2,37.6,25,18.453917016583855,940.0,75.2,1,6.0,1.0,1.0,1.0,3.0,Medium,2,22.416014,113.990211
9.63,2.52,210.3,30.6,2,83.4520497934532,61.2,61.2,0,6.0,1.0,3.0,1.0,1.0,Medium,2,49.264808,-123.165397
9.35,7.13,31.3,113.1,10,4.389895666345489,1131.0,226.2,0,6.0,1.0,2.0,1.0,3.0,High,0,-22.940329,-43.113132
16.1,6.98,33.2,26.9,10,4.756440177019804,269.0,26.9,0,1.0,0.0,2.0,4.0,4.0,Low,1,49.262389,-123.043046
89.12,5.1,52.3,69.6,50,10.254881853172838,3479.9999999999995,69.6,0,1.0,0.0,1.0,3.0,2.0,Low,1,3.17311,101.681728
0.77,6.04,155.8,36.9,2,25.794659280365433,73.8,110.69999999999999,1,1.0,2.0,3.0,3.0,3.0,Medium,2,1.310383,103.920371
77.66,8.72,91.4,32.1,5,10.48163935591817,160.5,64.2,0,0.0,1.0,2.0,3.0,3.0,Low,1,37.50419,126.944613
7.53,7.5,7.5,20.9,5,0.9999986666684445,104.5,20.9,0,5.0,0.0,0.0,2.0,3.0,Medium,2,52.282612,4.828149
36.82,9.32,4.5,62.0,5,0.482832099965558,310.0,124.0,0,7.0,1.0,0.0,3.0,0.0,Low,1,-12.039891,-77.090972
35.57,5.33,242.3,49.5,50,45.459576998917456,2475.0,148.5,0,1.0,2.0,0.0,1.0,0.0,Low,1,37.955957,23.657734
55.55,6.26,77.5,44.1,5,12.38017191665828,220.5,0.0,0,2.0,4.0,1.0,3.0,3.0,Low,1,-34.611733,-58.371467
30.025,6.16,240.9,52.6,25,39.1070793716244,1315.0,210.4,0,6.0,3.0,3.0,1.0,2.0,High,0,14.565542,120.892138
64.29,6.03,131.9,24.5,5,21.873927240585008,122.5,98.0,0,2.0,3.0,2.0,1.0,1.0,Low,1,-12.053974,-77.036816
-1.13,5.62,62.5,55.2,5,11.120976653066455,276.0,55.2,1,0.0,0.0,2.0,2.0,4.0,Medium,2,41.027308,29.009141
30.025,6.98,78.3,107.7,50,11.217748971706344,5385.0,215.4,0,2.0,1.0,0.0,1.0,1.0,High,0,25.612902,-80.189683
72.52,4.97,339.7749999999993,28.5,5,86.25737171554988,142.5,85.5,0,1.0,2.0,3.0,1.0,1.0,Low,1,41.85157,12.479182
68.9,6.12,311.6,33.8,2,50.91494948537667,67.6,0.0,0,1.0,4.0,0.0,1.0,1.0,Low,1,17.577729,78.431846
46.36,2.73,19.8,30.6,10,7.252720686004813,306.0,91.80000000000001,0,6.0,2.0,1.0,1.0,0.0,Medium,2,40.606519,-74.051018
86.31,6.37,183.8,55.5,10,28.853957843080313,555.0,222.0,0,8.0,3.0,0.0,2.0,1.0,Low,1,35.65908,51.323983
54.26,6.3,76.8,26.6,10,12.190456840544698,266.0,53.2,0,6.0,1.0,0.0,3.0,4.0,Low,1,12.931277,77.605341
12.29,2.45,157.0,67.1,50,64.0813710964445,3354.9999999999995,134.2,0,8.0,1.0,2.0,1.0,4.0,Medium,2,1.36216,103.771226
25.47,5.34,35.0,44.8,5,6.554294842144491,224.0,179.2,0,1.0,3.0,2.0,1.0,2.0,Low,1,-23.575784,-46.641491
30.025,3.62,74.9,73.8,10,20.690550578589562,738.0,0.0,0,7.0,4.0,0.0,4.0,1.0,High,0,13.017447,80.209538
2.42,7.53,72.9,62.7,50,9.681262043476703,3135.0,250.8,1,6.0,3.0,3.0,4.0,1.0,High,0,18.993732,72.833841
31.26,3.74,94.6,32.0,10,25.294050015909043,320.0,96.0,0,6.0,2.0,3.0,3.0,2.0,Low,1,-27.579448,153.024699
30.025,3.72,173.6,9.3,2,46.66654121897521,18.6,18.6,0,1.0,1.0,0.0,0.0,3.0,Low,1,25.296841,51.419735
30.025,6.26,86.9,33.4,2,13.881766962033609,66.8,100.19999999999999,0,6.0,2.0,1.0,1.0,0.0,High,0,34.572652,135.500546
30.025,5.84,51.2,39.1,50,8.76710827549953,1955.0,78.2,0,2.0,1.0,1.0,0.0,0.0,Low,1,37.826832,-122.317446
25.58,6.98,18.4,69.8,5,2.6360993752157946,349.0,209.39999999999998,0,0.0,2.0,0.0,3.0,0.0,Low,1,52.401169,4.898555
75.66,6.26,119.2,30.5,2,19.041503128589255,61.0,61.0,0,1.0,1.0,3.0,1.0,3.0,Low,1,55.710055,12.513682
31.31,6.61,95.0,28.1,25,14.372141645776633,702.5,56.2,0,6.0,1.0,1.0,1.0,4.0,Low,1,-29.848912,31.088916
31.44,8.62,59.9,39.6,10,6.948947855048893,396.0,118.80000000000001,0,0.0,2.0,1.0,1.0,1.0,Low,1,25.782317,-80.209354
42.16,4.86,80.2,29.4,2,16.502023658387536,58.8,88.19999999999999,0,6.0,2.0,2.0,3.0,1.0,Low,1,29.761917,-95.223688
25.26,4.98,339.7749999999993,20.7,25,84.81910678894218,517.5,0.0,0,2.0,4.0,3.0,1.0,4.0,Low,1,29.961299,-90.041153
40.64,3.38,339.7749999999993,68.5,10,120.02923068274946,685.0,205.5,0,6.0,2.0,3.0,1.0,3.0,Low,1,23.660339,90.451229
7.89,7.01,162.5,53.8,10,23.181136688820704,538.0,107.6,0,8.0,1.0,3.0,1.0,3.0,Medium,2,25.687468,-80.178397
31.37,6.18,91.4,80.1,25,14.789620081520907,2002.4999999999998,320.4,0,0.0,3.0,0.0,0.0,3.0,High,0,2.999628,101.6485
123.39,6.05,333.0,81.8,10,55.04123133680771,818.0,163.6,0,6.0,1.0,3.0,1.0,2.0,High,0,35.621826,51.334416
8.87,6.43,48.4,49.4,25,7.527204467800206,1235.0,148.2,0,7.0,2.0,0.0,1.0,1.0,Low,1,14.59056,121.022218
11.8,9.48,90.4,11.9,25,9.535854919984262,297.5,35.7,0,7.0,2.0,2.0,4.0,4.0,Low,1,49.279911,-123.109501
0.27,6.26,146.3,30.6,100,23.370569695575572,3060.0,91.80000000000001,1,6.0,2.0,3.0,0.0,1.0,Medium,2,31.275649,121.540097
57.09,6.22,91.4,32.8,10,14.694510137443512,328.0,98.39999999999999,0,6.0,2.0,2.0,1.0,4.0,Low,1,12.976138,77.611628
69.16,8.45,80.2,45.3,25,9.491113028268607,1132.5,181.2,0,7.0,3.0,0.0,4.0,4.0,Low,1,12.902046,77.606774
10.62,5.63,91.4,37.3,5,16.234429423748807,186.5,111.89999999999999,0,2.0,2.0,2.0,1.0,4.0,Low,1,52.427907,4.939044
4.49,6.63,14.5,29.4,2,2.1870253589361104,58.8,88.19999999999999,1,6.0,2.0,3.0,3.0,2.0,Medium,2,37.556517,127.136495
52.5,6.21,39.1,39.3,100,6.296286157349184,3929.9999999999995,157.2,0,4.0,3.0,0.0,0.0,1.0,Low,1,17.372948,78.483084
61.1,4.11,283.8,40.1,2,69.05092688338958,80.2,80.2,0,6.0,1.0,3.0,1.0,4.0,Low,1,-36.929847,174.763748
63.14,6.11,180.2,24.9,50,29.492586755177157,1245.0,74.69999999999999,0,2.0,2.0,3.0,1.0,1.0,Low,1,28.537309,77.301926
-2.52,6.26,183.0,82.6,10,29.233180138689878,826.0,165.2,1,2.0,1.0,4.0,4.0,4.0,High,0,49.349076,-123.156386
19.74,5.4,68.7,24.1,10,12.72219866259507,241.0,0.0,0,6.0,4.0,1.0,1.0,3.0,Low,1,-33.893375,18.367801
30.025,6.49,176.9,17.5,10,27.257276953348303,175.0,70.0,0,8.0,3.0,3.0,4.0,0.0,High,0,37.726372,-122.481088
14.83,7.91,117.1,30.0,50,14.8040267964263,1500.0,60.0,0,0.0,1.0,1.0,2.0,0.0,Low,1,17.38072,78.458124
13.67,6.26,91.4,53.8,5,14.600615653968607,269.0,53.8,0,2.0,0.0,3.0,3.0,1.0,Low,1,-33.905455,151.202563
19.84,8.28,224.0,32.3,5,27.05310742378331,161.5,129.2,0,2.0,3.0,3.0,4.0,1.0,Low,1,29.995263,-90.028266
5.73,6.64,138.5,46.0,2,20.858402321683254,92.0,92.0,0,7.0,1.0,3.0,1.0,3.0,Medium,2,19.135957,72.897326
46.83,10.45,51.5,63.4,25,4.928224949067035,1585.0,253.6,0,7.0,3.0,2.0,3.0,0.0,Low,1,41.890968,12.557779
99.51,4.71,45.6,20.0,25,9.681508107201472,500.0,60.0,0,7.0,2.0,0.0,1.0,3.0,Low,1,48.84732,2.297795
30.025,3.91,47.1,31.7,2,12.046004997429673,63.4,95.1,0,6.0,2.0,1.0,2.0,1.0,High,0,35.760767,139.54114
12.93,6.26,111.7,17.5,10,17.843421975364258,175.0,17.5,0,6.0,0.0,2.0,0.0,0.0,Low,1,40.191083,-75.061504
17.73,8.56,60.4,19.4,25,7.056066523286772,484.99999999999994,77.6,0,2.0,3.0,0.0,1.0,4.0,Low,1,17.446934,78.484703
79.72,5.32,20.4,85.3,5,3.8345792583096645,426.5,255.89999999999998,0,6.0,2.0,0.0,1.0,1.0,High,0,3.062267,101.616347
-2.91,2.84,23.4,33.4,5,8.239407607719691,167.0,33.4,1,6.0,0.0,2.0,2.0,1.0,Medium,2,35.614035,139.557341
3.28,7.21,91.4,19.0,10,12.6768201431066,190.0,0.0,1,0.0,4.0,3.0,4.0,4.0,Medium,2,41.09198,28.858191
45.63,1.8,166.7,57.4,10,92.61059660779661,574.0,172.2,0,1.0,2.0,0.0,2.0,3.0,Medium,2,23.83145,90.425708
30.025,5.55,113.0,16.8,50,20.36032367509248,840.0,50.400000000000006,0,0.0,2.0,0.0,1.0,2.0,Low,1,34.737155,135.482309
-2.19,7.54,91.4,56.8,25,12.121999838196503,1420.0,227.2,1,6.0,3.0,3.0,1.0,0.0,High,0,13.076487,80.281774
15.6,7.83,261.1,68.0,10,33.34606213785168,680.0,204.0,0,6.0,2.0,3.0,3.0,3.0,Low,1,6.453225,3.444304
49.83,5.88,85.2,37.6,5,14.489771275899193,188.0,75.2,0,6.0,1.0,4.0,1.0,3.0,Low,1,13.044352,77.540087
55.98,5.95,153.9,21.3,100,25.865502747054208,2130.0,85.2,0,7.0,3.0,2.0,3.0,0.0,Low,1,53.567635,10.066549
12.69,6.87,91.4,92.2,10,13.304201886169016,922.0,184.4,0,0.0,1.0,3.0,1.0,0.0,High,0,31.275797,121.467354
28.8,5.55,339.7749999999993,66.7,50,74.30617242131096,3335.0,133.4,0,8.0,1.0,2.0,1.0,2.0,Low,1,14.580639,120.962629
40.5,6.26,128.8,26.3,10,20.57504700471725,263.0,0.0,0,1.0,4.0,4.0,1.0,3.0,Low,1,48.88787,2.25333
125.01,9.7,80.0,48.1,25,8.24741417792353,1202.5,0.0,0,5.0,4.0,0.0,1.0,1.0,Low,1,23.103579,72.614063
30.97,6.93,112.7,16.9,2,16.262602795666965,33.8,33.8,0,7.0,1.0,0.0,1.0,3.0,Low,1,-1.222731,36.834578
24.57,7.71,48.1,27.3,25,6.238643010839156,682.5,54.6,0,2.0,1.0,2.0,1.0,1.0,Low,1,19.575712,-99.09631
51.25,5.87,91.4,36.4,5,15.570671940933662,182.0,0.0,0,7.0,4.0,3.0,1.0,3.0,Low,1,18.386667,73.967328
18.84,10.62,103.5,150.0,10,9.745753535072001,1500.0,300.0,0,7.0,1.0,1.0,0.0,1.0,High,0,22.427106,113.984216
30.025,5.4,51.0,24.4,10,9.444426954764898,244.0,97.6,0,6.0,3.0,0.0,0.0,4.0,High,0,-34.626247,-58.399964
30.025,10.96,91.4,33.0,5,8.339408449444846,165.0,33.0,0,0.0,0.0,2.0,1.0,2.0,Low,1,41.450522,2.148901
51.05,6.92,125.0,33.5,10,18.063557711621804,335.0,100.5,0,7.0,2.0,0.0,1.0,0.0,Low,1,41.951726,12.550095
32.21,5.25,96.6,48.1,50,18.39996495244771,2405.0,0.0,0,2.0,4.0,0.0,1.0,2.0,Low,1,21.034645,105.803475
108.92,4.16,57.4,56.2,2,13.798043754702514,112.4,112.4,0,1.0,1.0,2.0,1.0,1.0,Low,1,4.739799,-73.977001
30.025,6.87,133.8,15.2,2,19.47595418347281,30.4,30.4,0,6.0,1.0,1.0,1.0,1.0,Medium,2,23.054156,72.51075
7.13,6.26,2.4,50.6,10,0.3833859690319984,506.0,50.6,0,6.0,0.0,0.0,1.0,1.0,Medium,2,23.146786,113.149008
28.07,6.48,46.1,30.8,25,7.114186552181247,770.0,30.8,0,5.0,0.0,0.0,0.0,0.0,Low,1,40.937471,28.979683
50.93,3.1,61.0,118.3,5,19.677355879497163,591.5,236.6,0,6.0,1.0,2.0,3.0,0.0,High,0,3.218409,101.70542
23.8,4.35,274.4,55.7,10,63.08031475789711,557.0,111.4,0,1.0,1.0,0.0,0.0,1.0,Low,1,-33.940071,18.372848
67.5,10.53,274.8,24.4,50,26.096841313541017,1220.0,24.4,0,2.0,0.0,3.0,1.0,2.0,Low,1,45.416428,-73.621757
74.74,6.26,99.7,47.8,10,15.926492130204267,478.0,47.8,0,0.0,0.0,1.0,1.0,3.0,Low,1,55.613956,12.553419
33.15,5.77,185.0,15.5,100,32.06233611380223,1550.0,31.0,0,6.0,1.0,2.0,2.0,0.0,Low,1,24.892184,67.076192
30.025,6.26,33.7,58.9,10,5.383377981824311,589.0,58.9,0,6.0,0.0,2.0,0.0,3.0,Medium,2,-34.555028,-58.454621
30.025,7.42,81.9,20.7,10,11.03772097342187,207.0,41.4,0,0.0,1.0,2.0,2.0,1.0,Medium,2,18.575206,73.970498
30.025,9.76,25.3,39.9,25,2.5922104588007597,997.5,39.9,0,3.0,0.0,3.0,2.0,0.0,Low,1,51.520953,-0.184526
56.85,2.87,297.9,33.7,5,103.79754774373608,168.5,67.4,0,8.0,1.0,1.0,1.0,3.0,Medium,2,38.851024,-76.867765
30.025,5.92,68.3,31.8,5,11.537142673745484,159.0,31.8,0,0.0,0.0,0.0,0.0,0.0,Low,1,23.077306,72.546733
21.13,6.78,78.4,42.7,5,11.563404773739272,213.5,128.10000000000002,0,1.0,2.0,1.0,0.0,3.0,Low,1,3.106396,101.66905
16.67,4.42,69.7,31.8,10,15.769195092318798,318.0,63.6,0,4.0,1.0,1.0,2.0,3.0,Low,1,40.859385,28.977664
25.94,7.23,135.9,37.6,10,18.796654499786307,376.0,112.80000000000001,0,6.0,2.0,2.0,0.0,3.0,Low,1,-1.280229,36.861153
212.73,4.24,158.8,30.1,5,37.45274185674091,150.5,30.1,0,6.0,0.0,0.0,0.0,1.0,Low,1,4.60435,-74.02567
21.09,6.97,2.0,22.2,50,0.2869436342272106,1110.0,0.0,0,7.0,4.0,0.0,2.0,0.0,Low,1,40.662185,-74.056807
30.025,10.89,53.0,48.1,5,4.866845852299493,240.5,192.4,0,2.0,3.0,1.0,4.0,1.0,Low,1,1.452783,103.876058
46.27,8.49,148.6,29.6,10,17.50292402482447,296.0,0.0,0,0.0,4.0,1.0,1.0,1.0,Low,1,48.794752,2.461056
7.61,5.68,52.4,150.0,50,9.225335870887552,7500.0,300.0,0,0.0,1.0,2.0,1.0,0.0,High,0,1.38379,103.770525
30.025,3.36,41.5,81.7,25,12.351153716804415,2042.5,0.0,0,6.0,4.0,1.0,3.0,3.0,High,0,7.001239,79.792647
7.58,6.33,91.4,59.5,2,14.439155704335382,119.0,59.5,0,6.0,0.0,3.0,1.0,1.0,Medium,2,14.67274,121.037917
26.4,7.14,178.3,22.3,2,24.971953820792972,44.6,0.0,0,7.0,4.0,4.0,0.0,4.0,Low,1,41.364021,2.26098
43.3,2.42,134.0,46.1,100,55.37167201788422,4610.0,138.3,0,6.0,2.0,1.0,1.0,4.0,Medium,2,10.653499,106.632828
29.5,7.5,12.8,33.4,2,1.7066643911141453,66.8,133.6,0,0.0,3.0,1.0,4.0,3.0,Low,1,37.699621,-122.366738
65.0,5.68,4.2,19.6,25,0.7394353178955672,490.00000000000006,78.4,0,2.0,3.0,1.0,1.0,1.0,Low,1,37.538009,126.958233
72.66,7.66,158.1,38.4,5,20.6396597393476,192.0,115.19999999999999,0,1.0,2.0,2.0,0.0,2.0,Low,1,17.344686,78.557904
47.2,4.77,24.9,31.3,2,5.220114842526536,62.6,62.6,0,6.0,1.0,0.0,3.0,4.0,Low,1,-1.284704,36.837861
43.85,4.57,110.2,53.9,5,24.11373279270724,269.5,0.0,0,0.0,4.0,0.0,1.0,3.0,Low,1,12.975412,77.553468
62.45,5.98,339.7749999999993,15.3,100,72.99318897460037,1530.0,30.6,0,7.0,1.0,3.0,1.0,4.0,Low,1,45.61194,-73.676987
100.96,6.16,45.6,68.9,10,7.402585385413336,689.0,68.9,0,0.0,0.0,2.0,4.0,3.0,Low,1,41.014815,28.879246
77.62,2.45,37.8,11.8,2,15.428508455067528,23.6,23.6,0,6.0,1.0,2.0,2.0,2.0,Medium,2,37.94359,23.748992
76.81,2.56,227.9,27.7,5,89.02308975355565,138.5,110.8,0,1.0,3.0,0.0,3.0,3.0,Medium,2,4.683532,-74.094583
95.63,3.23,178.5,15.8,10,55.26298680189844,158.0,0.0,0,0.0,4.0,3.0,1.0,3.0,Low,1,19.508593,-99.127515
27.81,3.94,166.4,30.9,5,42.23339534671232,154.5,123.6,0,7.0,3.0,0.0,3.0,1.0,Low,1,38.95727,-77.028545
21.6,7.83,46.2,31.3,10,5.900375606161423,313.0,31.3,0,7.0,0.0,0.0,4.0,4.0,Low,1,24.805292,66.910294
30.025,6.26,339.7749999999993,41.3,10,78.49827715930167,413.0,41.3,0,1.0,0.0,4.0,0.0,0.0,Medium,2,35.758658,51.446085
12.76,3.79,84.5,46.9,2,22.295455684813497,93.8,0.0,0,0.0,4.0,2.0,0.0,4.0,Low,1,5.615897,-0.220944
9.18,3.32,315.5,23.9,25,95.02983424748722,597.5,23.9,0,3.0,0.0,1.0,4.0,1.0,Low,1,49.271834,-123.153985
17.32,10.0,168.4,60.7,100,16.839983160016843,6070.0,182.10000000000002,0,2.0,2.0,3.0,3.0,1.0,Low,1,-22.863116,-43.254828
30.025,2.67,292.1,39.5,10,109.40033932457183,395.0,158.0,0,1.0,3.0,0.0,2.0,0.0,High,0,34.74935,135.550278
92.44,6.42,54.3,61.6,25,8.457930750886682,1540.0,246.4,0,6.0,3.0,3.0,1.0,1.0,Low,1,10.768939,106.772404
8.8,4.97,309.2,150.0,50,62.213154500695175,7500.0,600.0,0,1.0,3.0,1.0,3.0,0.0,High,0,13.104309,80.26785
30.025,7.82,15.2,51.0,25,1.943731529755077,1275.0,102.0,0,6.0,1.0,0.0,2.0,1.0,Medium,2,52.30647,4.899011
46.02,6.26,57.6,42.2,100,9.201263256767962,4220.0,42.2,0,6.0,0.0,0.0,0.0,1.0,Low,1,-23.572479,-46.531559
19.19,9.99,22.4,25.9,5,2.24223999775776,129.5,0.0,0,2.0,4.0,0.0,2.0,2.0,Low,1,38.943781,-76.999643
57.11,6.74,4.4,85.7,10,0.6528180225251892,857.0,171.4,0,6.0,1.0,1.0,1.0,2.0,High,0,23.033187,72.516645
47.38,3.46,128.2,30.9,5,37.05191603492475,154.5,61.8,0,6.0,1.0,0.0,3.0,3.0,Low,1,35.810711,51.293965
83.31,5.83,23.8,65.9,10,4.082325759304015,659.0,0.0,0,7.0,4.0,2.0,2.0,0.0,Low,1,29.750592,-95.404389
153.18,5.97,69.8,37.6,5,11.691772710598476,188.0,37.6,0,0.0,0.0,1.0,3.0,0.0,Low,1,24.766211,66.949411
7.66,7.59,32.6,44.4,5,4.295119505771402,222.0,177.6,0,0.0,3.0,3.0,1.0,1.0,Medium,2,6.782412,79.757041
73.97,6.26,87.6,25.2,5,13.993587869667941,126.0,100.8,0,6.0,3.0,0.0,2.0,1.0,Low,1,28.609078,77.184699
